-3.2501,-37.277,1.7548,-7.6599,-13.245,2.3193,-12.955,0.22888,6.6528,9.552,-0.35095,-5.8899,-13.062,10.117,-14.13,-15.884,-11.108,-6.2256,-6.1493,-1.0681,-6.8207,-6.7749
-3.2959,-37.231,1.8768,-7.5226,-13.428,3.0823,-12.573,0.33569,6.1951,10.437,-0.015259,-6.1035,-13.367,9.8419,-14.16,-15.961,-10.651,-6.1188,-6.2256,-0.9613,-6.958,-6.546
-3.6316,-37.216,1.9836,-7.4615,-13.611,4.0283,-12.573,0.86975,5.2185,10.941,0.16785,-6.3019,-13.687,9.5673,-14.16,-16.144,-10.193,-5.9662,-6.2103,-0.86975,-7.1106,-6.2866
-4.1046,-37.216,2.0294,-7.4768,-13.809,5.0049,-12.817,1.6785,4.0436,10.986,0.21362,-6.5002,-14.023,9.3079,-14.13,-16.434,-9.7351,-5.7678,-6.0577,-0.74768,-7.2632,-5.9967
-4.5776,-37.231,2.0294,-7.5378,-14.023,5.8136,-13.107,2.6092,2.9602,10.605,0.22888,-6.6833,-14.389,9.079,-14.099,-16.785,-9.2926,-5.5389,-5.7831,-0.62561,-7.431,-5.7221
-4.8981,-37.277,1.9684,-7.6447,-14.221,6.3477,-13.26,3.4638,2.2125,9.9487,0.24414,-6.8512,-14.771,8.8654,-14.053,-17.151,-8.8654,-5.2948,-5.4016,-0.48828,-7.5836,-5.4474
-4.9744,-37.338,1.8463,-7.7667,-14.435,6.5002,-13.107,4.0894,1.9379,9.1248,0.32044,-7.019,-15.182,8.667,-14.008,-17.502,-8.4686,-5.0507,-4.9744,-0.32044,-7.7515,-5.188
-4.715,-37.415,1.709,-7.904,-14.633,6.2408,-12.634,4.3945,2.1515,8.3313,0.47302,-7.1564,-15.595,8.5144,-13.947,-17.807,-8.0872,-4.8065,-4.5166,-0.13733,-7.904,-4.9591
-4.0894,-37.491,1.5411,-8.0566,-14.832,5.6,-11.856,4.2725,2.7618,7.7057,0.68665,-7.2784,-16.037,8.3923,-13.901,-18.036,-7.7362,-4.5776,-4.0894,0.076294,-8.0566,-4.7455
-3.1586,-37.582,1.4191,-8.2398,-15.03,4.6692,-10.88,3.7689,3.6316,7.3547,0.91553,-7.3853,-16.48,8.2855,-13.84,-18.173,-7.4158,-4.3793,-3.7231,0.30518,-8.2245,-4.5776
-2.0142,-37.659,1.3428,-8.4534,-15.213,3.5858,-9.8419,2.9144,4.5776,7.3547,1.1139,-7.4463,-16.907,8.2245,-13.763,-18.25,-7.0953,-4.2267,-3.4332,0.54932,-8.4076,-4.425
-0.80872,-37.75,1.3428,-8.6975,-15.381,2.5787,-8.8806,1.8463,5.4474,7.6904,1.2054,-7.4768,-17.334,8.1634,-13.702,-18.265,-6.7902,-4.0894,-3.2654,0.79346,-8.606,-4.2877
0.24414,-37.827,1.4496,-8.9874,-15.518,1.8768,-8.1482,0.74768,6.0577,8.3008,1.1902,-7.4615,-17.746,8.1329,-13.626,-18.265,-6.485,-3.9978,-3.2043,1.0376,-8.8348,-4.1504
0.94605,-37.903,1.648,-9.3384,-15.61,1.6937,-7.7667,-0.15259,6.3019,9.079,1.0529,-7.4158,-18.158,8.1177,-13.565,-18.265,-6.1798,-3.9215,-3.2349,1.2512,-9.0637,-4.0131
1.1139,-37.979,1.9531,-9.7504,-15.671,2.1057,-7.8278,-0.61035,6.1493,9.8419,0.83923,-7.3242,-18.555,8.1177,-13.473,-18.311,-5.8746,-3.9063,-3.3569,1.4648,-9.3384,-3.8605
0.62561,-38.055,2.3193,-10.208,-15.686,2.9602,-8.3313,-0.38147,5.5695,10.376,0.64087,-7.2021,-18.936,8.1329,-13.382,-18.402,-5.5695,-3.9063,-3.54,1.648,-9.613,-3.6774
-0.41199,-38.117,2.7618,-10.712,-15.64,3.9825,-9.1858,0.45776,4.6692,10.437,0.48828,-7.0496,-19.302,8.1634,-13.26,-18.57,-5.2795,-3.952,-3.7384,1.8005,-9.9182,-3.5095
-1.7242,-38.162,3.2196,-11.246,-15.533,4.8828,-10.284,1.6632,3.5706,9.8877,0.45776,-6.8817,-19.623,8.2092,-13.138,-18.768,-4.9744,-4.0131,-3.9368,1.9226,-10.223,-3.3264
-3.006,-38.193,3.6926,-11.795,-15.381,5.4474,-11.459,2.8839,2.4567,8.8806,0.59509,-6.7444,-19.913,8.2398,-13.001,-19.012,-4.6845,-4.1046,-4.1351,2.0294,-10.513,-3.1738
