-6.42395,25.0244,-20.1569,-2.92969,-10.3607,6.63757,14.2059,1.51062,5.32532,5.70679,36.0565,30.7007,14.1449,13.1226,2.31934,-6.16455,3.35693,1.44958,4.83704,-6.16455,3.46375,335.464
-6.5918,25.2991,-20.2789,-2.50244,-10.1624,6.31714,13.6871,2.02942,5.75256,6.95801,35.9192,30.5786,13.5345,13.1226,2.16675,-5.84412,3.23486,1.37329,4.88281,-6.16455,3.20435,335.175
-7.06482,25.6042,-20.4163,-2.05994,-9.93347,5.75256,13.2446,2.85339,5.56946,8.11768,35.7361,30.4413,12.9547,13.0615,1.95312,-5.49316,3.08228,1.31226,4.95911,-6.14929,2.91443,334.824
-7.79724,25.8942,-20.5688,-1.61743,-9.67407,5.11169,13.0157,3.86047,4.80652,8.95691,35.5225,30.304,12.4054,13.0005,1.69373,-5.12695,2.89917,1.2207,5.05066,-6.11877,2.54822,334.442
-8.72803,26.1536,-20.7367,-1.17493,-9.38416,4.5166,13.0768,4.88281,3.72314,9.35364,35.2631,30.1666,11.9171,12.9242,1.43433,-4.82178,2.71606,1.14441,5.12695,-6.04248,2.10571,334
-9.68933,26.3824,-20.8893,-0.717163,-9.07898,4.13513,13.4277,5.67627,2.62451,9.2926,34.9579,30.0446,11.4594,12.8174,1.17493,-4.57764,2.50244,1.0376,5.15747,-5.90515,1.58691,333.511
-10.498,26.535,-21.0419,-0.244141,-8.75854,4.05884,14.0228,6.01196,1.80054,8.86536,34.6375,29.9225,11.0474,12.7106,0.961304,-4.42505,2.27356,0.930786,5.15747,-5.7373,0.991821,332.993
-10.9558,26.6266,-21.1792,0.198364,-8.43811,4.31824,14.7705,5.67627,1.41907,8.19397,34.2712,29.8157,10.6354,12.5885,0.808716,-4.37927,2.02942,0.823975,5.09644,-5.53894,0.38147,332.458
-10.8948,26.6571,-21.3013,0.62561,-8.14819,4.91333,15.5182,4.79126,1.51062,7.43103,33.8898,29.7089,10.2234,12.4664,0.717163,-4.40979,1.77002,0.701904,4.98962,-5.2948,-0.183105,331.924
-10.3302,26.6266,-21.4081,1.00708,-7.87354,5.75256,16.1285,3.64685,2.05994,6.7749,33.493,29.6173,9.78088,12.3291,0.701904,-4.48608,1.4801,0.564575,4.80652,-5.02014,-0.640869,331.406
